Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear
L,300.5,328.1851852,1345,62.7,153
L,303.7,337.8148148,1513,40.1,135
L,302.5,334.1111111,1559,37.6,209
H,295.6,315.2222222,1509,35.8,60
H,300.5,328.9259259,1358,60.4,102
H,301.3,329.2962963,1455,44.1,188
L,302.4,328.9259259,1426,46.6,102
M,299.3,326.3333333,1471,46.0,42
L,300.7,337.4444444,1590,36.3,93
L,298.9,322.2592593,2384,15.0,19
L,299.0,323.7407407,1587,38.6,124
L,300.5,334.8518519,1365,53.0,85
M,300.9,331.8888889,1519,34.9,73
L,298.1,323.0,1436,46.7,103
H,295.5,313.7407407,1593,37.2,197
L,304.0,340.037037,1541,45.9,64
L,304.0,341.1481481,1519,36.7,117
L,303.7,336.7037037,1363,51.8,90
L,297.2,323.0,1677,26.4,146
M,298.7,323.0,1441,43.2,132
L,299.7,330.037037,1495,43.1,101
L,298.9,329.6666667,2737,8.8,142
H,298.5,321.1481481,1260,54.2,141
M,302.3,331.5185185,1544,39.7,141
L,298.9,329.2962963,2109,18.0,61
M,300.8,332.2592593,1522,41.7,115
L,295.8,315.5925926,1356,48.0,99
L,299.9,333.7407407,1504,40.7,20
L,299.3,325.962963,1775,24.2,125
M,303.8,338.9259259,1507,38.5,180
H,298.4,321.1481481,1700,28.2,120
L,299.3,323.7407407,1422,48.9,83
L,296.7,320.4074074,1524,36.8,82
L,301.4,330.4074074,1471,37.5,193
M,297.2,324.4814815,1485,47.9,143
M,299.8,325.962963,1678,29.8,202
H,303.3,334.1111111,1651,30.6,50
L,300.1,330.7777778,1627,29.2,95
L,301.1,335.2222222,1408,46.3,135
M,302.7,336.3333333,1538,36.7,74
L,302.6,330.4074074,1359,57.2,67
M,298.8,328.5555556,1331,61.6,46
M,299.3,324.8518519,1858,24.7,101
M,297.5,321.8888889,1334,72.0,151
L,298.1,324.1111111,1691,30.3,49
L,302.7,337.4444444,1858,25.4,2
L,298.2,323.0,1388,53.8,137
M,297.4,326.3333333,1564,36.0,126
L,300.5,330.7777778,1536,36.2,12
M,297.9,319.2962963,1403,52.8,0
M,298.2,325.2222222,1441,44.2,147
L,297.3,323.3703704,1350,57.6,186
M,298.3,320.7777778,1392,50.4,101
L,303.9,340.4074074,1586,31.9,108
M,301.0,337.0740741,1629,32.6,69
L,297.4,324.4814815,1467,39.0,128
H,300.0,327.0740741,1781,24.9,70
L,297.6,323.7407407,1528,40.0,123
M,302.2,334.4814815,1734,25.0,116
L,301.7,331.5185185,1763,25.9,3
L,298.7,328.1851852,1394,40.3,11
M,302.9,338.1851852,1679,30.9,79
H,298.8,323.7407407,1524,37.7,170
L,298.3,323.7407407,1548,40.3,140
L,299.1,329.6666667,1317,54.8,231
M,302.9,333.3703704,1330,53.7,200
L,295.9,316.3333333,1678,26.7,53
L,301.3,331.8888889,1719,29.5,62
M,300.7,331.1481481,1474,37.0,33
M,297.2,323.3703704,1604,40.7,158
L,298.6,327.8148148,1429,45.8,113
H,301.7,333.3703704,1639,30.0,161
L,297.7,318.5555556,1668,32.7,31
L,296.3,318.9259259,1398,52.7,31
M,302.3,334.8518519,1668,33.2,52
M,297.6,323.0,1611,31.0,48
H,304.1,341.1481481,1689,32.5,134
L,300.8,331.1481481,1663,30.6,139
H,300.3,335.962963,1390,49.0,194
M,303.1,334.1111111,1831,23.3,161
L,297.6,327.0740741,2001,20.5,220
L,301.2,331.1481481,1385,49.2,105
L,299.3,324.8518519,1623,31.1,152
L,298.5,327.0740741,1480,38.1,160
M,298.5,323.7407407,1384,54.4,44
H,298.8,324.4814815,1445,49.9,4
M,297.4,326.7037037,1539,42.2,134
M,301.9,331.8888889,1557,35.3,65
L,301.3,333.0,1303,49.2,212
L,301.1,331.8888889,1470,49.3,116
M,300.4,327.0740741,1888,21.9,221
L,301.1,337.4444444,1682,29.7,83
L,302.6,334.8518519,1453,37.0,135
H,298.4,323.3703704,1827,24.3,153
L,297.1,323.3703704,1425,40.0,35
M,302.0,331.1481481,1563,41.0,184
L,302.2,331.8888889,1340,47.8,54
L,300.8,337.8148148,1465,59.1,91
L,295.8,315.5925926,1339,53.2,67
M,301.7,332.6296296,1505,44.0,187
M,300.7,332.2592593,1486,38.9,106
L,301.9,327.4444444,1446,43.2,225
H,302.4,334.8518519,1544,39.1,70
M,298.4,326.3333333,1355,50.6,8
L,300.5,334.4814815,1490,38.4,67
M,302.2,333.7407407,1510,36.6,91
M,302.9,338.1851852,1924,24.0,17
L,300.4,327.4444444,1356,45.9,64
L,300.1,327.0740741,1557,40.6,59
M,299.1,322.2592593,1435,45.2,45
M,298.7,327.8148148,1622,34.6,8
L,298.4,321.5185185,1515,42.8,125
M,299.9,325.962963,1539,43.2,132
L,301.4,331.5185185,1487,44.6,88
H,300.9,336.3333333,1397,42.7,212
M,299.8,327.8148148,1910,21.8,141
L,302.4,333.3703704,1466,43.9,152
L,303.0,338.9259259,1551,41.8,111
M,300.3,328.5555556,1494,38.5,33
H,298.3,323.7407407,1432,49.5,91
M,297.5,326.7037037,1678,34.4,148
L,297.8,324.8518519,1871,25.6,200
L,302.8,331.8888889,1402,50.5,30
L,297.5,323.0,1440,35.9,13
H,296.4,318.1851852,1638,32.5,146
L,298.8,329.2962963,1574,36.2,181
L,300.7,337.4444444,1548,37.9,58
M,302.3,332.2592593,1360,44.0,67
L,301.3,331.1481481,1556,39.0,72
M,298.4,326.3333333,1496,45.6,129
H,297.7,318.5555556,1429,44.1,26
L,298.0,320.4074074,1387,50.8,204
L,303.8,338.5555556,1793,28.1,170
L,302.2,334.4814815,1567,33.1,168
L,298.7,327.8148148,1547,37.4,0
M,297.4,323.3703704,1472,42.0,150
L,299.7,330.4074074,1614,36.2,108
H,300.2,330.4074074,1501,42.9,212
L,301.6,331.1481481,1621,33.7,137
M,298.9,328.9259259,1456,43.8,15
L,300.4,328.9259259,1581,30.3,42
M,299.7,331.5185185,1498,37.8,146
L,299.7,325.962963,1616,31.6,175
L,298.2,321.5185185,1535,38.0,179
M,299.7,326.3333333,1399,41.9,221
M,300.7,335.5925926,1407,42.4,224
L,301.7,328.5555556,1524,46.6,104
H,300.4,333.7407407,2026,20.3,26
L,299.3,324.4814815,1636,29.9,201
M,297.3,321.5185185,1598,29.4,148
H,298.6,327.8148148,1672,27.5,54
L,298.4,326.7037037,1385,43.2,119
L,299.9,326.3333333,1473,40.4,59
M,300.6,328.1851852,1694,31.1,187
L,301.2,331.8888889,1233,64.6,45
M,300.1,326.3333333,1469,43.9,20
L,299.2,325.5925926,1578,38.1,109
M,299.6,325.2222222,1539,36.1,76
M,300.3,328.5555556,1447,46.5,28
L,299.2,323.7407407,1267,68.2,76
L,302.4,334.1111111,1475,40.4,126
L,301.1,337.4444444,1587,34.5,115
M,297.4,324.1111111,1798,23.0,135
L,298.2,320.7777778,1515,46.7,74
L,302.4,334.1111111,1831,26.9,121
L,298.7,323.0,1373,46.9,60
M,297.6,327.0740741,1709,32.2,65
H,297.6,327.4444444,1428,46.6,13
H,298.6,325.5925926,1423,44.3,29
L,303.7,338.1851852,1481,33.3,182
L,298.7,328.5555556,1593,42.5,146
L,300.4,331.8888889,1390,52.5,144
L,297.7,323.0,1487,41.4,84
M,300.7,335.2222222,1412,49.1,219
M,301.1,331.5185185,1621,31.0,108
H,298.8,322.2592593,1450,44.7,14
L,297.5,322.6296296,1435,40.3,197
H,299.0,330.4074074,1677,30.8,73
L,299.6,325.5925926,1369,51.4,164
L,300.7,329.6666667,1569,32.8,31
M,300.8,334.1111111,1852,22.2,53
M,299.5,326.3333333,1675,29.2,132
L,300.3,333.0,1388,49.4,128
L,300.8,334.1111111,1492,40.6,20
L,297.3,321.1481481,1628,30.2,80
L,302.3,332.6296296,1428,47.9,174
M,299.7,325.962963,1608,34.4,68
L,303.5,334.8518519,1428,46.2,139
L,298.9,323.7407407,1400,49.5,79
H,297.3,321.5185185,1384,49.1,206
L,298.4,327.0740741,1520,38.1,106
M,302.7,337.8148148,1422,44.5,49
L,298.8,330.7777778,1384,52.8,200
L,297.7,326.3333333,1559,36.9,145
M,296.6,319.6666667,1566,35.0,201
L,300.1,330.7777778,1500,39.8,107
M,300.0,327.4444444,1587,32.6,152
M,300.9,328.9259259,1600,36.0,204
M,299.2,330.037037,1551,44.8,18
M,302.0,331.1481481,1623,34.3,9
M,302.5,335.962963,1340,59.4,60
M,304.2,341.5185185,1329,54.5,75
H,297.4,324.1111111,1726,26.8,158
L,300.9,331.8888889,1708,29.1,14
L,297.5,325.2222222,1320,54.7,179
L,298.9,329.6666667,1562,42.5,179
M,297.3,323.3703704,1664,28.9,174
M,304.3,341.1481481,1540,39.0,14
M,301.2,330.4074074,1697,30.0,120
M,300.8,329.6666667,1598,36.5,195
M,301.1,333.0,1592,35.7,174
H,301.5,332.2592593,1524,40.4,124
M,298.4,323.7407407,1527,40.9,96
L,296.7,320.4074074,1502,43.9,84
L,299.0,328.9259259,1360,48.1,37
L,302.6,335.5925926,1638,35.1,17
L,302.6,337.0740741,1377,45.5,54
M,302.3,335.2222222,1640,31.5,199
L,302.3,331.8888889,1421,41.4,102
L,302.0,331.5185185,1657,31.9,37
L,300.7,333.0,1688,30.7,161
M,299.0,330.4074074,1394,45.2,122
L,295.6,314.4814815,1372,55.6,215
M,302.2,332.2592593,1771,27.6,54
L,300.3,327.0740741,1551,37.9,42
L,299.0,330.037037,1577,40.0,181
M,297.5,321.8888889,1907,23.5,125
L,303.1,338.5555556,1548,36.4,150
L,302.7,330.7777778,1642,30.8,195
M,299.0,329.2962963,1593,35.4,5
L,297.9,324.4814815,1386,48.6,75
L,300.8,329.6666667,1492,46.3,187
H,299.3,330.4074074,1548,41.6,25
L,302.4,335.5925926,1433,42.2,134
M,298.4,327.0740741,1484,41.7,119
L,303.5,337.4444444,1946,21.1,112
L,299.2,322.2592593,1466,41.3,8
L,299.9,326.3333333,1471,41.8,109
L,297.6,326.7037037,1628,33.4,229
L,300.5,335.962963,1350,51.7,18
L,300.4,327.8148148,1488,35.7,177
M,300.5,330.7777778,1469,42.9,14
L,299.0,330.4074074,1512,38.8,109
L,302.1,334.1111111,1686,30.9,106
M,296.1,317.8148148,1523,42.0,164
L,300.5,335.2222222,1811,26.8,47
M,298.8,328.1851852,1288,61.9,79
M,297.4,324.1111111,1392,46.4,174
L,298.9,329.6666667,1411,46.5,202
L,296.2,318.9259259,1711,29.9,42
M,297.9,328.5555556,1410,55.4,188
M,299.1,323.3703704,1592,34.2,153
L,298.7,328.1851852,1322,57.0,140
L,298.9,330.037037,1484,43.8,124
L,298.0,319.6666667,1644,32.8,215
M,298.8,331.1481481,1640,33.8,9
L,297.1,322.2592593,1351,56.6,126
L,298.2,320.7777778,1749,26.1,66
L,301.8,331.8888889,1456,46.6,35
L,295.5,314.1111111,1621,29.5,176
L,296.9,320.7777778,1466,45.7,153
L,302.5,334.1111111,1759,24.6,124
M,301.4,328.9259259,1651,29.8,44
L,298.9,329.6666667,1498,50.2,160
L,299.0,323.7407407,1648,30.8,98
L,297.6,323.3703704,1572,35.9,71
L,298.6,326.3333333,1449,46.5,26
L,297.8,323.0,1512,39.9,181
M,303.7,337.8148148,1546,33.7,149
M,301.7,328.5555556,1452,41.5,86
L,298.4,325.5925926,1798,29.6,81
M,298.9,327.4444444,1284,55.3,166
L,298.4,324.1111111,1523,36.1,126
L,301.5,330.7777778,1593,32.9,155
L,297.2,321.8888889,1662,31.3,0
L,299.8,332.2592593,2084,17.6,175
L,298.6,325.5925926,1537,35.7,198
L,302.6,336.7037037,1782,26.8,198
L,301.4,333.0,1495,36.3,193
M,299.1,324.1111111,2008,20.3,178
L,297.4,323.7407407,1459,41.3,196
L,297.8,325.962963,1372,47.3,15
L,297.7,322.2592593,1334,53.0,156
L,300.7,328.1851852,1596,31.5,123
L,299.4,325.5925926,1464,40.5,215
L,298.4,327.8148148,1530,38.6,161
M,296.7,320.7777778,1672,32.4,113
L,302.9,337.8148148,1383,51.4,160
M,301.5,331.5185185,1347,47.9,29
L,301.5,329.2962963,1430,46.5,35
L,296.8,321.5185185,1666,29.8,41
H,298.6,326.7037037,1362,45.3,56
L,299.7,325.5925926,1713,33.5,141
L,297.9,320.037037,1687,29.1,176
L,300.2,334.1111111,1483,44.4,141
L,300.5,331.1481481,1448,46.3,173
H,303.3,335.5925926,1806,27.7,44
L,303.3,334.8518519,1514,34.7,130
L,301.0,330.4074074,1563,34.4,124
L,299.1,322.2592593,1568,33.3,123
L,297.4,323.7407407,1476,42.3,107
M,297.4,324.4814815,1359,48.7,220
M,298.4,321.8888889,1495,46.0,203
L,296.6,319.6666667,1485,42.7,204
L,296.4,319.6666667,1549,36.1,58
M,298.1,320.7777778,1569,31.2,131
H,298.8,323.3703704,1359,47.6,85
M,298.1,324.4814815,1378,53.5,65
M,298.7,328.5555556,1458,40.2,137
M,298.7,327.4444444,1686,26.2,189
L,298.2,324.8518519,1605,32.0,79
L,299.1,329.6666667,1496,45.0,104
L,302.3,333.7407407,1682,34.4,127
M,302.5,332.6296296,1463,43.1,181
L,300.1,327.4444444,1565,34.8,32
L,303.8,341.1481481,1406,52.1,166
L,295.6,314.8518519,1443,48.9,33
H,301.4,330.037037,1611,41.5,11
L,299.8,328.5555556,1553,36.6,157
L,303.7,338.9259259,1335,51.1,161
L,300.6,331.1481481,1508,34.8,62
M,300.0,327.4444444,1573,39.7,162
M,298.6,326.7037037,1465,41.1,30
L,301.7,329.2962963,1500,39.6,56
L,300.0,334.1111111,1927,24.6,132
H,302.5,334.4814815,1496,43.8,218
M,298.6,325.962963,1742,30.0,37
L,300.4,326.3333333,1766,28.2,207
H,300.8,330.4074074,1419,46.4,200
M,298.0,324.1111111,1494,42.6,96
H,297.3,321.8888889,1554,42.4,158
L,298.0,320.4074074,1643,32.3,200
M,302.0,332.6296296,1980,21.5,20
L,298.7,329.2962963,1641,31.1,49
M,299.9,326.7037037,1399,54.8,3
M,296.9,321.5185185,1430,55.9,71
L,302.5,335.962963,1497,41.6,123
L,299.9,330.4074074,1328,49.9,206
M,297.6,323.7407407,1492,35.5,88
L,301.2,337.8148148,1480,53.5,97
L,298.9,322.6296296,1576,36.6,7
L,296.9,323.0,1557,32.4,173
M,302.1,331.1481481,1326,59.1,88
L,300.2,328.1851852,1827,23.0,6
L,301.1,333.3703704,1910,20.2,41
L,299.8,325.5925926,1485,39.9,207
H,300.6,326.7037037,1380,47.6,246
M,303.4,338.9259259,1399,48.4,34
M,298.9,322.2592593,1335,47.8,40
L,298.2,320.7777778,1476,36.8,134
L,298.0,323.0,1911,22.0,13
L,302.3,332.2592593,1459,35.0,32
M,302.6,336.7037037,2000,21.9,200
M,298.8,328.9259259,1295,52.7,74
L,303.0,333.3703704,1511,45.7,184
L,298.0,325.5925926,1820,23.6,120
M,299.9,333.7407407,1703,28.4,134
L,301.1,337.0740741,1397,54.9,81
M,302.2,335.2222222,1466,49.0,66
L,301.1,331.1481481,1417,47.6,10
L,301.7,331.5185185,1542,40.0,188
M,300.6,328.1851852,1447,42.9,12
L,302.5,336.3333333,2052,18.9,40
H,299.3,324.8518519,1429,43.0,96
M,301.9,332.2592593,1641,33.2,3
L,297.9,320.7777778,1505,37.3,100
L,300.7,329.6666667,1387,50.6,83
L,299.0,330.4074074,1524,39.8,120
L,300.3,335.5925926,1746,26.3,187
L,303.8,339.6666667,1589,37.2,203
L,297.9,318.9259259,1824,26.3,5
H,299.9,328.1851852,1400,48.7,119
H,297.4,324.8518519,1645,30.8,196
H,303.3,338.5555556,1692,29.0,125
L,299.8,327.4444444,1374,51.6,137
M,302.8,332.6296296,1507,33.4,82
L,295.8,315.962963,1505,35.2,86
L,304.0,341.1481481,1530,34.8,211
M,298.2,324.1111111,1426,42.6,23
L,298.5,327.0740741,1738,25.2,49
M,297.5,323.0,1596,36.6,80
L,300.0,327.0740741,1717,28.3,48
M,300.0,334.1111111,1352,61.8,10
M,298.0,321.1481481,1479,47.6,76
