Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear
M,302.0,332.2592593,1456,47.2,54
M,297.0,322.6296296,1399,46.4,132
M,301.0,334.8518519,1357,45.6,137
L,298.9,328.1851852,1411,56.3,84
L,297.1,323.3703704,1733,28.7,50
H,298.3,324.8518519,1706,31.8,8
M,300.7,332.6296296,1263,52.3,104
H,297.6,325.2222222,1413,40.2,51
M,303.9,340.7777778,1608,40.6,79
H,297.3,323.7407407,1431,42.0,109
L,298.9,329.2962963,1466,42.5,187
L,297.9,323.7407407,1691,29.6,116
L,299.2,331.5185185,1540,36.3,175
L,298.4,323.0,1515,40.1,179
M,300.4,328.1851852,1421,47.2,0
L,298.7,328.5555556,1617,33.0,203
L,297.7,324.1111111,1249,60.4,143
L,298.9,328.9259259,1564,33.8,183
L,298.1,324.1111111,1568,32.9,10
L,304.1,340.7777778,1434,50.1,43
L,302.5,333.0,1571,34.2,201
H,299.2,324.4814815,1908,21.3,104
L,299.6,329.6666667,1468,48.0,9
H,301.0,337.0740741,1489,40.3,117
L,299.1,330.7777778,1389,61.4,64
L,302.4,329.6666667,1351,45.1,168
L,299.1,330.7777778,1532,36.6,62
L,300.6,327.4444444,1726,30.0,147
L,301.7,333.3703704,1589,37.9,75
L,296.8,319.6666667,1347,54.8,43
L,300.7,335.5925926,1486,47.3,19
L,299.6,332.6296296,1430,38.3,124
L,297.1,322.6296296,1403,54.1,179
L,300.7,331.1481481,1520,45.9,146
M,298.9,322.2592593,1372,63.6,30
L,298.7,328.1851852,1354,53.3,212
L,299.7,325.5925926,1347,55.3,139
L,300.7,327.0740741,1508,39.9,59
M,303.0,339.2962963,1648,32.1,104
M,300.4,335.2222222,1832,24.2,179
M,302.0,333.0,1406,48.8,159
L,298.3,321.8888889,1326,58.4,90
L,298.9,330.037037,1456,44.1,118
L,298.0,323.3703704,1702,26.7,203
L,302.6,334.1111111,1738,25.8,128
L,297.1,322.2592593,1347,50.8,49
L,303.8,338.9259259,1664,29.3,178
L,298.6,328.1851852,1637,34.6,207
L,301.6,333.0,1907,21.5,102
M,302.3,333.3703704,1505,36.7,78
M,298.2,325.2222222,1410,47.6,76
L,296.8,321.1481481,1709,28.4,118
M,297.2,322.6296296,1776,28.0,43
L,300.2,329.6666667,1600,31.5,23
L,301.0,331.5185185,1391,45.0,123
H,298.7,326.3333333,1402,45.3,190
M,298.1,321.1481481,1496,40.0,0
L,301.5,330.037037,1415,41.6,28
L,301.1,333.0,1711,29.1,170
M,296.8,320.7777778,1664,32.8,142
L,298.2,323.0,1477,49.9,72
M,297.4,325.2222222,1520,37.0,147
M,298.9,324.8518519,1487,39.5,30
L,299.3,325.5925926,1551,39.1,147
L,298.3,322.2592593,1663,28.4,67
M,301.0,332.6296296,1423,38.6,199
L,301.5,333.0,1434,49.6,129
M,300.5,334.8518519,1476,39.1,199
L,300.6,328.9259259,1425,49.5,174
M,301.3,331.8888889,1455,41.2,56
M,297.2,323.0,1863,26.0,110
L,298.8,324.4814815,1523,44.4,55
L,300.4,328.9259259,1769,26.1,38
